Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Jindal Steel and Power,Iron & Steel, Angul,(3.3k),32,14k,351,333
HDFC Ergo General Insurance,Insurance, Mumbai,(3.4k),--,11.4k,291,160
Alembic Pharmaceuticals,Pharma, Vadodara,(3.3k),82,13.9k,408,210
Samvardhana Motherson Group,Auto Components, Noida,(3.3k),10,12.1k,427,227
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances, Mumbai,(3.3k),58,14.6k,434,187
RBL Bank,Banking, Mumbai,(3.3k),98,16.9k,229,186
Utkarsh Small Finance Bank,Banking, Varanasi,(3.4k),12,9.8k,279,234
Sodexo,Facility Management Services, Mumbai,(3.2k),107,9.5k,391,170
Cummins,Industrial Machinery, Pune,(3.4k),165,14.7k,494,245
Abbott,Pharma, Mumbai,(3.2k),272,10.8k,395,155
Bharat Electronics,Electronics Manufacturing, Bangalore / Bengaluru,(3.2k),--,11.8k,334,217
PVR Inox,Media & Entertainment, New Delhi,(3.3k),18,9.3k,258,175
Viatris,Pharma, Hyderabad / Secunderabad,(3.4k),6,13.5k,538,143
Carelon Global Solutions,Software Product, Bangalore / Bengaluru,(3.4k),18,25.1k,66,375
Synechron,IT Services & Consulting, Pune,(3.1k),19,27k,293,372
Pidilite Industries,Chemicals, Mumbai,(3.3k),3,9.8k,378,216
Reliance Digital,Retail, Mumbai,(3.1k),--,7.8k,287,138
Escorts Kubota Limited,Automobile, Faridabad,(3.1k),9,12k,286,241
Birlasoft,IT Services & Consulting, Pune,(3.1k),11,28.1k,249,295
Automatic Data Processing (ADP),Software Product, Hyderabad / Secunderabad,(3.3k),30,20k,490,249
Cogent E Services,n/a,Noida,(3.1k),2,9.4k,239,253
Ipca Laboratories,Pharma, Mumbai,(3.1k),36,10.7k,276,168
"NTT DATA, Inc.",IT Services & Consulting, Bangalore / Bengaluru,(3.1k),418,22.3k,645,130
Hindalco Industries,Metals & Mining, Sambalpur,(3.3k),51,10.5k,362,231
Kogta Financial India Limited,NBFC, Jaipur,(3.1k),44,1.6k,46,87
Johnson Controls,Industrial Automation, Pune,(3.1k),174,16.1k,310,269
Jubilant Foods Works,Hospitality, New Delhi,(3.3k),41,8.1k,194,194
Reliance Projects & Property Management Services,IT Services & Consulting, Kolkata,(3.1k),--,6.9k,37,181
Aditya Birla Sun Life Insurance,Insurance, Mumbai,(3k),2,8.9k,225,142
UBS,Financial Services, Pune,(3k),9,28.9k,166,345
Indian Oil Corporation,Oil & Gas, New Delhi,(3.1k),--,7.3k,317,216
24/7 Customer,Software Product, Bangalore / Bengaluru,(3k),39,13k,448,177
Future Group,Retail, Mumbai,(3k),--,8k,430,80
JK Cement,Building Material, New Delhi,(3k),--,8.9k,276,279
Alkem Laboratories,Pharma, Mumbai,(3k),26,9.1k,352,162
MRF Tyres,Auto Components, Chennai,(3k),1,11.3k,388,318
Maersk,Logistics, Pune,(3.2k),128,17.4k,458,212
Dabur,FMCG, New Delhi,(3.2k),28,8k,307,280
Marpu Foundation,Non-Profit, Hyderabad / Secunderabad,(3k),--,51,159,88
Vishal Mega Mart,Retail, New Delhi,(3k),2,6k,278,166
KPIT Technologies,Software Product, Pune,(3k),33,20.7k,321,298
Honda Motorcycle & Scooter,Automobile, Gurgaon / Gurugram,(3k),--,10.5k,376,163
IGT Solutions,IT Services & Consulting, New Delhi,(3k),94,12.2k,261,226
HARMAN,Consumer Electronics & Appliances, Bangalore / Bengaluru,(2.9k),370,23.2k,134,269
Grasim Industries,Building Material, Bharuch,(2.9k),3,11k,290,223
Ford Motor,Automobile, Chennai,(3.1k),--,14k,415,157
State Street Corporation,Financial Services, Bangalore / Bengaluru,(3.2k),1,27.7k,291,235
Tata Capital,NBFC, Mumbai,(2.9k),1.1k,9.5k,118,147
